,image_urls
78,https://m.media-amazon.com/images/I/810leHjzn4L._AC_UL320_.jpg
79,https://m.media-amazon.com/images/I/61FI8V9IbJL._AC_UL320_.jpg
80,https://m.media-amazon.com/images/I/71W0g5hUbQL._AC_UL320_.jpg
81,https://m.media-amazon.com/images/I/61nUmbXUMWL._AC_UL320_.jpg
82,https://m.media-amazon.com/images/I/611nBeCvAtL._AC_UL320_.jpg
83,https://m.media-amazon.com/images/I/41iOCt1DZjL._AC_UL320_.jpg
84,https://m.media-amazon.com/images/I/61g6BemJ-PL._AC_UL320_.jpg
85,https://m.media-amazon.com/images/I/71ynE8CGNRL._AC_UL320_.jpg
86,https://m.media-amazon.com/images/I/61Ptbj-d7qL._AC_UL320_.jpg
87,https://m.media-amazon.com/images/I/61j3EGsSSiL._AC_UL320_.jpg
88,https://m.media-amazon.com/images/I/71KU2Er-9yL._AC_UL320_.jpg
89,https://m.media-amazon.com/images/I/71ZH6PENaPL._AC_UL320_.jpg
90,https://m.media-amazon.com/images/I/51gN8IqsL4L._AC_UL320_.jpg
91,https://m.media-amazon.com/images/I/41pmtTo6x1L._AC_UL320_.jpg
92,https://m.media-amazon.com/images/I/61GYXm1FIfL._AC_UL320_.jpg
93,https://m.media-amazon.com/images/I/61OGVk+3p6L._AC_UL320_.jpg
94,https://m.media-amazon.com/images/I/41Udy2uStwL._AC_UL320_.jpg
95,https://m.media-amazon.com/images/I/81YDxG4xUxL._AC_UL320_.jpg
96,https://m.media-amazon.com/images/I/51uOrRmB9-L._AC_UL320_.jpg
97,https://m.media-amazon.com/images/I/51auUUF5w+L._AC_UL320_.jpg
98,https://m.media-amazon.com/images/I/61cWvE9FFUL._AC_UL320_.jpg
99,https://m.media-amazon.com/images/I/61SQEwnjmKL._AC_UL320_.jpg
100,https://m.media-amazon.com/images/I/51ZzOcrCYwL._AC_UL320_.jpg
101,https://m.media-amazon.com/images/I/51BQw07EARL._AC_UL320_.jpg
102,https://m.media-amazon.com/images/I/61bWLw5VMEL._AC_UL320_.jpg
103,https://m.media-amazon.com/images/I/61pYDShT1SL._AC_UL320_.jpg
